il,urun,toprak_tipi,iklim_tipi,onerilen_yontem
Gaziantep,Elma,Kumlu,Rüzgarlı,Damla Sulama
Bayburt,Buğday,Drenajlı,Kışı Uzun,Bitki Örtüsü Koruma
Bolu,Kabak,Kireçli,Alçak Rakım,Damla Sulama
Kırşehir,Mısır,Çorak,Ilık Kış,Rüzgar Kıran
Ordu,Mısır,Organik,Alçak Rakım,Toprak Analizi
Şanlıurfa,Kabak,Toprak A,Don Tehlikesi,Azot Takviyesi
Muğla,Ayçiçeği,Killi,Kışı Uzun,Rüzgar Kıran
Uşak,Kayısı,Asidik,Yüksek Rakım,Nöbetleşe Ekim
Artvin,Elma,Organik,Don Tehlikesi,Kompost
Uşak,Soğan,Bazik,Kurak,Rüzgar Kıran
Adıyaman,Patates,Yumuşak,Akdeniz,Kompost
Kocaeli,Nohut,Toprak B,Denizel,Bitki Örtüsü Koruma
Şırnak,Üzüm,Kireçli,Karadeniz,Malçlama
Batman,Nohut,Toprak B,Kurak,Kompost
Giresun,Patates,Kumlu,Don Tehlikesi,Toprak Analizi
Muğla,Nohut,Kireçli,Rüzgarlı,Yağmur Suyu Toplama
Kütahya,Buğday,Bazik,Soğuk,Rüzgar Kıran
Eskişehir,Mısır,Yumuşak,Kışı Uzun,Kompost
Sakarya,Kayısı,Drenajlı,Rüzgarlı,Bitki Örtüsü Koruma
Burdur,Domates,Alüvyal,Karadeniz,Damla Sulama
Niğde,Domates,Zayıf,Yüksek Rakım,Damla Sulama
Tunceli,Biber,Tınlı,Ilık Kış,Bitki Örtüsü Koruma
Nevşehir,Patates,Killi,Soğuk,Organik Gübre
Malatya,Biber,Verimli,Yarı Kurak,Yağmur Suyu Toplama
Bartın,Çilek,Verimli,Ilık Kış,Malçlama
Bitlis,Mısır,Kahverengi,Kışı Uzun,Kompost
Gümüşhane,Patates,Alüvyal,Ilıman,Organik Gübre
Kastamonu,Karpuz,Kırmızı,Çok Yağışlı,Azot Takviyesi
Bilecik,Pamuk,Tınlı,Nemli,Malçlama
İstanbul,Buğday,Bazik,Rüzgarlı,Toprak Analizi
Osmaniye,Kayısı,Kumlu,Alçak Rakım,Rüzgar Kıran
Muş,Biber,Organik,Soğuk,Azot Takviyesi
Aydın,Arpa,Yumuşak,Karasal,Azot Takviyesi
Yozgat,Elma,Toprak A,Denizel,Nöbetleşe Ekim
Bursa,Arpa,Verimli,Nemli,Yağmur Suyu Toplama
Adıyaman,Pamuk,Drenajlı,Az Yağışlı,Rüzgar Kıran
Rize,Kayısı,Sert,Alçak Rakım,Malçlama
Nevşehir,Soğan,Toprak A,Rüzgarlı,Bitki Örtüsü Koruma
Uşak,Nohut,Sert,Yüksek Rakım,Rüzgar Kıran
İstanbul,Sarımsak,Kırmızı,Yarı Kurak,Azot Takviyesi
Mardin,Arpa,Kahverengi,Ilık Kış,Toprak Analizi
Balıkesir,Patates,Killi,Rüzgarlı,Rüzgar Kıran
Balıkesir,Arpa,Alüvyal,Nem Düşük,Rüzgar Kıran
Balıkesir,Çilek,Kumlu,Nem Düşük,Malçlama
Kastamonu,Karpuz,Yumuşak,Yarı Kurak,Nöbetleşe Ekim
Karaman,Zeytin,Kireçli,Alçak Rakım,Malçlama
Trabzon,Soğan,Alüvyal,Karadeniz,Nöbetleşe Ekim
Kilis,Karpuz,Yumuşak,Kışı Uzun,Organik Gübre
Kars,Pamuk,Alüvyal,Yarı Kurak,Toprak Analizi
Mersin,Nohut,Kahverengi,Yüksek Rakım,Yağmur Suyu Toplama
Kastamonu,Mısır,Tınlı,Karadeniz,Nöbetleşe Ekim
Aydın,Patates,Alüvyal,Nemli,Azot Takviyesi
Eskişehir,Elma,Toprak B,Alçak Rakım,Kompost
İzmir,Nohut,Kumlu,Akdeniz,Malçlama
Aydın,Sarımsak,Sert,Ilık Kış,Organik Gübre
Sakarya,Biber,Killi,Alçak Rakım,Nöbetleşe Ekim
Yozgat,Biber,Sert,Karasal,Organik Gübre
Bayburt,Mısır,Alüvyal,Çok Yağışlı,Malçlama
Mardin,Mercimek,Toprak B,Nem Düşük,Malçlama
Düzce,Patates,Alüvyal,Kışı Uzun,Toprak Analizi
Elazığ,Ayçiçeği,Tınlı,Nemli,Rüzgar Kıran
Kırşehir,Üzüm,Kumlu,Nem Düşük,Toprak Analizi
Çankırı,Kabak,Çorak,Yüksek Rakım,Bitki Örtüsü Koruma
Gaziantep,Karpuz,Drenajlı,Kurak,Kompost
Yozgat,Kayısı,Zayıf,Sıcak,Toprak Analizi
Erzurum,Nohut,Toprak A,Sıcak,Rüzgar Kıran
Yalova,Ayçiçeği,Taşlı,Karadeniz,Toprak Analizi
Tunceli,Ayçiçeği,Taşlı,Nemli,Damla Sulama
Kırıkkale,Pamuk,Toprak A,Yüksek Rakım,Damla Sulama
Uşak,Nohut,Toprak B,Soğuk,Yağmur Suyu Toplama
Malatya,Soğan,Verimli,Sıcak,Bitki Örtüsü Koruma
Ağrı,Zeytin,Killi,Nem Düşük,Azot Takviyesi
Şırnak,Arpa,Organik,Nemli,Nöbetleşe Ekim
Adıyaman,Mısır,Alüvyal,Karasal,Organik Gübre
Sinop,Mısır,Kırmızı,Yazı Kısa,Organik Gübre
Kocaeli,Nohut,Kireçli,Nem Düşük,Rüzgar Kıran
Tekirdağ,Arpa,Kireçli,Yüksek Rakım,Toprak Analizi
Bingöl,Biber,Tuzlu,Rüzgarlı,Azot Takviyesi
Erzurum,Mısır,Bazik,Karadeniz,Kompost
Bayburt,Üzüm,Kahverengi,Çok Yağışlı,Kompost
Zonguldak,Sarımsak,Alüvyal,Alçak Rakım,Bitki Örtüsü Koruma
Karabük,Soğan,Bazik,Yarı Kurak,Toprak Analizi
Karaman,Domates,Sert,Denizel,Kompost
Karabük,Ayçiçeği,Organik,Sıcak,Kompost
Eskişehir,Zeytin,Alüvyal,Nemli,Azot Takviyesi
Muş,Mercimek,Kırmızı,Sıcak,Bitki Örtüsü Koruma
Çanakkale,Kayısı,Toprak B,Nem Düşük,Toprak Analizi
Burdur,Kayısı,Kumlu,Ilık Kış,Bitki Örtüsü Koruma
Ordu,Domates,Sert,Kışı Uzun,Rüzgar Kıran
Uşak,Buğday,Drenajlı,Az Yağışlı,Damla Sulama
Tunceli,Üzüm,Kahverengi,Akdeniz,Nöbetleşe Ekim
Ordu,Soğan,Kumlu,Denizel,Yağmur Suyu Toplama
Muğla,Buğday,Drenajlı,Akdeniz,Malçlama
Adıyaman,Pamuk,Tuzlu,Karadeniz,Toprak Analizi
Siirt,Arpa,Toprak B,Denizel,Rüzgar Kıran
Kırklareli,Elma,Verimli,Alçak Rakım,Nöbetleşe Ekim
Bolu,Elma,Kireçli,Rüzgarlı,Kompost
Konya,Kayısı,Verimli,Alçak Rakım,Rüzgar Kıran
Tokat,Mercimek,Çorak,Kurak,Malçlama
Ankara,Çilek,Yumuşak,Kışı Uzun,Yağmur Suyu Toplama
Gümüşhane,Nohut,Kireçli,Rüzgarlı,Bitki Örtüsü Koruma
Ankara,Zeytin,Bazik,Don Tehlikesi,Azot Takviyesi
Yozgat,Buğday,Organik,Akdeniz,Damla Sulama
Van,Pamuk,Sert,Nem Düşük,Organik Gübre
Artvin,Domates,Çorak,Kışı Uzun,Toprak Analizi
Van,Karpuz,Verimli,Ilık Kış,Azot Takviyesi
Kars,Çilek,Yumuşak,Denizel,Rüzgar Kıran
Çorum,Sarımsak,Kırmızı,Kışı Uzun,Azot Takviyesi
Burdur,Buğday,Çorak,Yüksek Rakım,Malçlama
Bolu,Nohut,Verimli,Soğuk,Kompost
Kilis,Pamuk,Taşlı,Denizel,Nöbetleşe Ekim
Tunceli,Soğan,Çorak,Ilıman,Kompost
Şanlıurfa,Zeytin,Taşlı,Nemli,Rüzgar Kıran
Tekirdağ,Patates,Kırmızı,Alçak Rakım,Organik Gübre
Burdur,Kabak,Kireçli,Akdeniz,Azot Takviyesi
Bitlis,Karpuz,Sert,Ilık Kış,Nöbetleşe Ekim
Kırıkkale,Çilek,Kahverengi,Nemli,Malçlama
Bursa,Buğday,Alüvyal,Nemli,Yağmur Suyu Toplama
Çorum,Fasulye,Toprak B,Az Yağışlı,Yağmur Suyu Toplama
Muş,Pamuk,Sert,Sıcak,Organik Gübre
Kayseri,Elma,Kireçli,Yarı Kurak,Toprak Analizi
Karaman,Nohut,Organik,Nemli,Yağmur Suyu Toplama
Isparta,Ayçiçeği,Tuzlu,Karadeniz,Yağmur Suyu Toplama
Afyonkarahisar,Zeytin,Kireçli,Nemli,Damla Sulama
Nevşehir,Nohut,Zayıf,Nem Düşük,Malçlama
Nevşehir,Sarımsak,Kahverengi,Yazı Kısa,Azot Takviyesi
Kastamonu,Pamuk,Toprak B,Ilık Kış,Yağmur Suyu Toplama
Adana,Ayçiçeği,Yumuşak,Yazı Kısa,Nöbetleşe Ekim
Kahramanmaraş,Kabak,Toprak A,Yüksek Rakım,Organik Gübre
Karabük,Sarımsak,Alüvyal,Kurak,Toprak Analizi
Kars,Arpa,Toprak B,Don Tehlikesi,Malçlama
Hakkâri,Patates,Yumuşak,Rüzgarlı,Organik Gübre
Zonguldak,Çilek,Taşlı,Kurak,Toprak Analizi
Çanakkale,Mısır,Kahverengi,Kışı Uzun,Damla Sulama
Aydın,Pamuk,Zayıf,Don Tehlikesi,Organik Gübre
Kilis,Domates,Kahverengi,Kurak,Damla Sulama
Çorum,Mercimek,Asidik,Yarı Kurak,Damla Sulama
Malatya,Çilek,Bazik,Akdeniz,Rüzgar Kıran
Şanlıurfa,Kabak,Sert,Ilık Kış,Toprak Analizi
Denizli,Soğan,Tuzlu,Az Yağışlı,Malçlama
Kayseri,Çilek,Organik,Karasal,Malçlama
Uşak,Karpuz,Asidik,Rüzgarlı,Nöbetleşe Ekim
Aksaray,Çilek,Taşlı,Kurak,Organik Gübre
Denizli,Pamuk,Kumlu,Çok Yağışlı,Azot Takviyesi
Yalova,Buğday,Sert,Denizel,Organik Gübre
Kayseri,Çilek,Alüvyal,Ilıman,Malçlama
Konya,Çilek,Asidik,Ilık Kış,Damla Sulama
Rize,Kabak,Drenajlı,Soğuk,Yağmur Suyu Toplama
Kırşehir,Zeytin,Bazik,Denizel,Damla Sulama
Van,Elma,Toprak B,Akdeniz,Rüzgar Kıran
Ağrı,Biber,Taşlı,Kurak,Bitki Örtüsü Koruma
Ağrı,Kayısı,Toprak B,Sıcak,Organik Gübre
Osmaniye,Nohut,Yumuşak,Nem Düşük,Rüzgar Kıran
Tekirdağ,Çilek,Drenajlı,Kışı Uzun,Azot Takviyesi
Bartın,Domates,Tuzlu,Ilık Kış,Nöbetleşe Ekim
Eskişehir,Üzüm,Kumlu,Yazı Kısa,Rüzgar Kıran
İstanbul,Çilek,Yumuşak,Çok Yağışlı,Rüzgar Kıran
Kastamonu,Buğday,Asidik,Sıcak,Nöbetleşe Ekim
Karabük,Kabak,Sert,Nem Düşük,Organik Gübre
Düzce,Çilek,Drenajlı,Denizel,Azot Takviyesi
Bingöl,Mısır,Alüvyal,Kurak,Yağmur Suyu Toplama
Mersin,Pamuk,Killi,Nem Düşük,Malçlama
Bayburt,Buğday,Zayıf,Nem Düşük,Rüzgar Kıran
Karaman,Nohut,Organik,Az Yağışlı,Malçlama
Muğla,Elma,Sert,Nem Düşük,Toprak Analizi
Mersin,Çilek,Toprak A,Sıcak,Yağmur Suyu Toplama
Zonguldak,Domates,Yumuşak,Don Tehlikesi,Malçlama
Kayseri,Üzüm,Toprak B,Sıcak,Kompost
Erzurum,Soğan,Taşlı,Don Tehlikesi,Bitki Örtüsü Koruma
Bitlis,Kabak,Zayıf,Soğuk,Damla Sulama
Kırıkkale,Mercimek,Toprak B,Karasal,Azot Takviyesi
Konya,Buğday,Toprak A,Don Tehlikesi,Bitki Örtüsü Koruma
Kırıkkale,Kabak,Tuzlu,Karasal,Nöbetleşe Ekim
Kastamonu,Biber,Zayıf,Kurak,Bitki Örtüsü Koruma
Hakkâri,Fasulye,Toprak B,Soğuk,Rüzgar Kıran
Erzurum,Mısır,Alüvyal,Karasal,Yağmur Suyu Toplama
Bingöl,Biber,Kırmızı,Yüksek Rakım,Toprak Analizi
Yalova,Nohut,Kahverengi,Karasal,Yağmur Suyu Toplama
Tekirdağ,Elma,Tınlı,Ilık Kış,Yağmur Suyu Toplama
Çanakkale,Buğday,Organik,Rüzgarlı,Malçlama
Kırıkkale,Mercimek,Tuzlu,Denizel,Yağmur Suyu Toplama
Aksaray,Domates,Verimli,Sıcak,Rüzgar Kıran
Karaman,Domates,Toprak B,Alçak Rakım,Bitki Örtüsü Koruma
Bilecik,Elma,Alüvyal,Çok Yağışlı,Toprak Analizi
İstanbul,Kabak,Asidik,Ilıman,Rüzgar Kıran
Bartın,Patates,Verimli,Karasal,Bitki Örtüsü Koruma
Kars,Karpuz,Killi,Az Yağışlı,Damla Sulama
Erzurum,Karpuz,Kumlu,Denizel,Bitki Örtüsü Koruma
Kütahya,Kayısı,Çorak,Karasal,Toprak Analizi
Yozgat,Fasulye,Kırmızı,Akdeniz,Rüzgar Kıran
Kırklareli,Çilek,Organik,Don Tehlikesi,Nöbetleşe Ekim
Siirt,Ayçiçeği,Tuzlu,Akdeniz,Rüzgar Kıran
Hakkâri,Üzüm,Organik,Ilıman,Kompost
Muş,Buğday,Alüvyal,Rüzgarlı,Rüzgar Kıran
Nevşehir,Kayısı,Çorak,Don Tehlikesi,Damla Sulama
Muğla,Arpa,Alüvyal,Yarı Kurak,Nöbetleşe Ekim
Kastamonu,Buğday,Zayıf,Nem Düşük,Toprak Analizi
Gümüşhane,Kabak,Kumlu,Yüksek Rakım,Bitki Örtüsü Koruma
Batman,Nohut,Kumlu,Soğuk,Toprak Analizi
Sivas,Sarımsak,Kırmızı,Az Yağışlı,Toprak Analizi
Adıyaman,Zeytin,Killi,Denizel,Organik Gübre
Giresun,Mısır,Toprak B,Az Yağışlı,Damla Sulama
Bayburt,Arpa,Kırmızı,Akdeniz,Malçlama
Hakkâri,Pamuk,Zayıf,Denizel,Kompost
Niğde,Nohut,Taşlı,Alçak Rakım,Damla Sulama
Şanlıurfa,Buğday,Killi,Rüzgarlı,Kompost
Şırnak,Domates,Kireçli,Karadeniz,Malçlama
Tokat,Karpuz,Killi,Ilıman,Yağmur Suyu Toplama
Zonguldak,Soğan,Asidik,Kışı Uzun,Malçlama
Amasya,Patates,Toprak A,Az Yağışlı,Damla Sulama
Düzce,Patates,Kumlu,Nem Düşük,Azot Takviyesi
Gümüşhane,Buğday,Kireçli,Kurak,Kompost
Düzce,Patates,Tuzlu,Nem Düşük,Azot Takviyesi
Iğdır,Elma,Tuzlu,Nem Düşük,Kompost
Kocaeli,Zeytin,Yumuşak,Denizel,Rüzgar Kıran
Tekirdağ,Fasulye,Toprak B,Sıcak,Nöbetleşe Ekim
Erzincan,Buğday,Kahverengi,Karasal,Malçlama
Ardahan,Arpa,Kireçli,Çok Yağışlı,Yağmur Suyu Toplama
Rize,Ayçiçeği,Kumlu,Karasal,Rüzgar Kıran
Hatay,Domates,Zayıf,Ilık Kış,Toprak Analizi
Denizli,Mısır,Asidik,Az Yağışlı,Bitki Örtüsü Koruma
Mardin,Buğday,Toprak A,Kurak,Nöbetleşe Ekim
Tunceli,Üzüm,Verimli,Nemli,Malçlama
Van,Soğan,Toprak B,Kışı Uzun,Toprak Analizi
Hatay,Çilek,Kumlu,Az Yağışlı,Damla Sulama
Yozgat,Elma,Sert,Ilıman,Bitki Örtüsü Koruma
Kırşehir,Soğan,Çorak,Kışı Uzun,Yağmur Suyu Toplama
Hakkâri,Mısır,Verimli,Ilıman,Yağmur Suyu Toplama
Isparta,Buğday,Killi,Akdeniz,Yağmur Suyu Toplama
Şanlıurfa,Pamuk,Asidik,Nem Düşük,Toprak Analizi
Kastamonu,Zeytin,Kireçli,Çok Yağışlı,Kompost
Uşak,Buğday,Toprak A,Ilıman,Damla Sulama
Ağrı,Sarımsak,Drenajlı,Ilıman,Azot Takviyesi
Erzurum,Patates,Çorak,Yazı Kısa,Yağmur Suyu Toplama
Rize,Nohut,Organik,Alçak Rakım,Azot Takviyesi
Kırşehir,Çilek,Taşlı,Denizel,Nöbetleşe Ekim
Sinop,Üzüm,Zayıf,Çok Yağışlı,Kompost
Sakarya,Soğan,Çorak,Rüzgarlı,Toprak Analizi
Ordu,Nohut,Kumlu,Akdeniz,Yağmur Suyu Toplama
Kırşehir,Üzüm,Asidik,Yazı Kısa,Kompost
Ağrı,Soğan,Kireçli,Yarı Kurak,Rüzgar Kıran
Adana,Fasulye,Yumuşak,Alçak Rakım,Rüzgar Kıran
Burdur,Kabak,Drenajlı,Sıcak,Organik Gübre
Çorum,Patates,Drenajlı,Karasal,Bitki Örtüsü Koruma
Balıkesir,Karpuz,Kireçli,Ilıman,Kompost
Erzurum,Çilek,Kahverengi,Çok Yağışlı,Malçlama
Antalya,Mercimek,Tınlı,Soğuk,Azot Takviyesi
Çanakkale,Zeytin,Taşlı,Yüksek Rakım,Yağmur Suyu Toplama
Aydın,Kayısı,Kırmızı,Rüzgarlı,Rüzgar Kıran
Edirne,Sarımsak,Alüvyal,Karasal,Kompost
Kilis,Üzüm,Taşlı,Rüzgarlı,Nöbetleşe Ekim
Kahramanmaraş,Sarımsak,Tınlı,Az Yağışlı,Nöbetleşe Ekim
Muğla,Biber,Tınlı,Rüzgarlı,Damla Sulama
Muğla,Elma,Zayıf,Karasal,Bitki Örtüsü Koruma
Yozgat,Fasulye,Asidik,Soğuk,Kompost
Elazığ,Domates,Kahverengi,Yarı Kurak,Damla Sulama
Düzce,Buğday,Taşlı,Nem Düşük,Malçlama
Karabük,Kayısı,Kahverengi,Karadeniz,Bitki Örtüsü Koruma
Çorum,Üzüm,Bazik,Karadeniz,Toprak Analizi
Hakkâri,Biber,Kumlu,Az Yağışlı,Toprak Analizi
Hatay,Kabak,Taşlı,Karasal,Nöbetleşe Ekim
Niğde,Soğan,Bazik,Ilıman,Organik Gübre
Bayburt,Sarımsak,Tınlı,Yüksek Rakım,Rüzgar Kıran
Bitlis,Zeytin,Drenajlı,Kışı Uzun,Damla Sulama
Yozgat,Fasulye,Toprak B,Soğuk,Toprak Analizi
Niğde,Domates,Verimli,Ilık Kış,Kompost
Hatay,Biber,Alüvyal,Nemli,Azot Takviyesi
Kayseri,Patates,Bazik,Nem Düşük,Nöbetleşe Ekim
Ardahan,Fasulye,Zayıf,Nem Düşük,Rüzgar Kıran
Tunceli,Mercimek,Verimli,Kurak,Yağmur Suyu Toplama
Kırıkkale,Pamuk,Drenajlı,Çok Yağışlı,Yağmur Suyu Toplama
Ordu,Üzüm,Asidik,Don Tehlikesi,Azot Takviyesi
Manisa,Mercimek,Kahverengi,Alçak Rakım,Nöbetleşe Ekim
Tunceli,Karpuz,Killi,Yüksek Rakım,Nöbetleşe Ekim
Bilecik,Zeytin,Organik,Nem Düşük,Damla Sulama
Tekirdağ,Ayçiçeği,Asidik,Sıcak,Kompost
Adıyaman,Kabak,Bazik,Don Tehlikesi,Nöbetleşe Ekim
Balıkesir,Elma,Tınlı,Nemli,Yağmur Suyu Toplama
Samsun,Zeytin,Kumlu,Denizel,Yağmur Suyu Toplama
Aksaray,Karpuz,Taşlı,Kurak,Yağmur Suyu Toplama
Bolu,Pamuk,Sert,Rüzgarlı,Rüzgar Kıran
Nevşehir,Nohut,Organik,Rüzgarlı,Rüzgar Kıran
Karaman,Karpuz,Kırmızı,Kurak,Organik Gübre
Şanlıurfa,Elma,Çorak,Az Yağışlı,Yağmur Suyu Toplama
Muş,Üzüm,Tınlı,Karadeniz,Yağmur Suyu Toplama
Şanlıurfa,Patates,Asidik,Rüzgarlı,Kompost
Bitlis,Mercimek,Toprak A,Kışı Uzun,Azot Takviyesi
Yozgat,Domates,Drenajlı,Çok Yağışlı,Yağmur Suyu Toplama
İzmir,Zeytin,Toprak A,Nemli,Rüzgar Kıran
Muş,Üzüm,Verimli,Kurak,Malçlama
Antalya,Mısır,Kireçli,Akdeniz,Malçlama
Adıyaman,Fasulye,Asidik,Akdeniz,Kompost
Mardin,Pamuk,Asidik,Alçak Rakım,Kompost
Elazığ,Biber,Yumuşak,Karadeniz,Yağmur Suyu Toplama
Aydın,Pamuk,Tuzlu,Yüksek Rakım,Malçlama
Erzincan,Elma,Toprak B,Ilık Kış,Yağmur Suyu Toplama
Ordu,Soğan,Toprak A,Karasal,Yağmur Suyu Toplama
Kastamonu,Soğan,Asidik,Denizel,Toprak Analizi
Karaman,Mısır,Killi,Soğuk,Damla Sulama
Kastamonu,Karpuz,Drenajlı,Karadeniz,Bitki Örtüsü Koruma
Düzce,Çilek,Toprak B,Don Tehlikesi,Rüzgar Kıran
Konya,Karpuz,Kireçli,Kışı Uzun,Organik Gübre
Çankırı,Ayçiçeği,Verimli,Denizel,Bitki Örtüsü Koruma
Balıkesir,Pamuk,Kahverengi,Nemli,Toprak Analizi
Tekirdağ,Soğan,Alüvyal,Yazı Kısa,Bitki Örtüsü Koruma
Erzincan,Kayısı,Asidik,Çok Yağışlı,Damla Sulama
Hakkâri,Fasulye,Organik,Yazı Kısa,Malçlama
Afyonkarahisar,Üzüm,Bazik,Nem Düşük,Organik Gübre
İstanbul,Elma,Çorak,Denizel,Azot Takviyesi
Muğla,Sarımsak,Tınlı,Nemli,Malçlama
Erzurum,Sarımsak,Kahverengi,Kurak,Malçlama
Adıyaman,Fasulye,Toprak B,Ilık Kış,Bitki Örtüsü Koruma
Bilecik,Üzüm,Yumuşak,Çok Yağışlı,Azot Takviyesi
Bitlis,Elma,Verimli,Akdeniz,Azot Takviyesi
Kilis,Üzüm,Organik,Az Yağışlı,Toprak Analizi
Bursa,Buğday,Kırmızı,Sıcak,Azot Takviyesi
Adıyaman,Nohut,Alüvyal,Alçak Rakım,Damla Sulama
Diyarbakır,Çilek,Organik,Nemli,Rüzgar Kıran
Giresun,Kabak,Verimli,Kurak,Malçlama
Kayseri,Fasulye,Kahverengi,Az Yağışlı,Bitki Örtüsü Koruma
Şanlıurfa,Domates,Alüvyal,Rüzgarlı,Nöbetleşe Ekim
Ağrı,Kabak,Çorak,Don Tehlikesi,Nöbetleşe Ekim
Bursa,Mısır,Asidik,Rüzgarlı,Bitki Örtüsü Koruma
Aydın,Buğday,Çorak,Ilıman,Kompost
Kırıkkale,Karpuz,Sert,Yazı Kısa,Damla Sulama
Malatya,Patates,Zayıf,Karadeniz,Nöbetleşe Ekim
İstanbul,Buğday,Kireçli,Akdeniz,Yağmur Suyu Toplama
Ordu,Kabak,Toprak B,Don Tehlikesi,Nöbetleşe Ekim
Karabük,Nohut,Killi,Nem Düşük,Organik Gübre
Osmaniye,Biber,Toprak A,Don Tehlikesi,Malçlama
Iğdır,Zeytin,Alüvyal,Kurak,Kompost
Çanakkale,Elma,Asidik,Don Tehlikesi,Kompost
Bursa,Elma,Tuzlu,Az Yağışlı,Malçlama
Düzce,Biber,Yumuşak,Ilıman,Malçlama
Kırşehir,Mısır,Toprak B,Yüksek Rakım,Kompost
Yozgat,Fasulye,Yumuşak,Nemli,Nöbetleşe Ekim
Uşak,Biber,Kırmızı,Karasal,Rüzgar Kıran
Sivas,Biber,Taşlı,Don Tehlikesi,Rüzgar Kıran
Sakarya,Sarımsak,Asidik,Don Tehlikesi,Damla Sulama
Tunceli,Elma,Kırmızı,Soğuk,Azot Takviyesi
Muğla,Ayçiçeği,Kumlu,Az Yağışlı,Yağmur Suyu Toplama
Ordu,Domates,Alüvyal,Alçak Rakım,Azot Takviyesi
Çankırı,Ayçiçeği,Asidik,Denizel,Yağmur Suyu Toplama
İzmir,Kayısı,Kumlu,Karasal,Damla Sulama
Kocaeli,Nohut,Zayıf,Kurak,Azot Takviyesi
Giresun,Kayısı,Drenajlı,Az Yağışlı,Bitki Örtüsü Koruma
Kırıkkale,Elma,Kırmızı,Az Yağışlı,Toprak Analizi
İzmir,Nohut,Kahverengi,Karasal,Kompost
Hatay,Arpa,Drenajlı,Yazı Kısa,Damla Sulama
Bayburt,Zeytin,Kumlu,Ilıman,Rüzgar Kıran
Hatay,Ayçiçeği,Kumlu,Çok Yağışlı,Rüzgar Kıran
Aksaray,Patates,Tuzlu,Karasal,Malçlama
Diyarbakır,Soğan,Kahverengi,Don Tehlikesi,Yağmur Suyu Toplama
Kırklareli,Mısır,Verimli,Çok Yağışlı,Damla Sulama
Rize,Arpa,Zayıf,Sıcak,Rüzgar Kıran
Erzurum,Pamuk,Kahverengi,Soğuk,Malçlama
Bolu,Arpa,Taşlı,Yüksek Rakım,Bitki Örtüsü Koruma
Çankırı,Mısır,Yumuşak,Az Yağışlı,Azot Takviyesi
Kocaeli,Zeytin,Taşlı,Nemli,Azot Takviyesi
Aksaray,Ayçiçeği,Killi,Sıcak,Rüzgar Kıran
Uşak,Nohut,Killi,Nemli,Toprak Analizi
Osmaniye,Ayçiçeği,Asidik,Kışı Uzun,Bitki Örtüsü Koruma
Trabzon,Mercimek,Sert,Nemli,Rüzgar Kıran
Burdur,Elma,Verimli,Yarı Kurak,Rüzgar Kıran
Erzurum,Soğan,Kireçli,Ilıman,Toprak Analizi
Amasya,Karpuz,Drenajlı,Rüzgarlı,Nöbetleşe Ekim
Siirt,Domates,Kırmızı,Ilık Kış,Rüzgar Kıran
Şırnak,Mısır,Kırmızı,Çok Yağışlı,Yağmur Suyu Toplama
Tekirdağ,Üzüm,Kırmızı,Çok Yağışlı,Bitki Örtüsü Koruma
Kastamonu,Mercimek,Çorak,Kurak,Bitki Örtüsü Koruma
Kars,Nohut,Yumuşak,Yüksek Rakım,Malçlama
Siirt,Kayısı,Drenajlı,Denizel,Toprak Analizi
Yalova,Patates,Yumuşak,Denizel,Bitki Örtüsü Koruma
Osmaniye,Fasulye,Alüvyal,Çok Yağışlı,Azot Takviyesi
Gaziantep,Patates,Toprak A,Az Yağışlı,Damla Sulama
Sinop,Mercimek,Asidik,Don Tehlikesi,Nöbetleşe Ekim
Çanakkale,Pamuk,Verimli,Az Yağışlı,Azot Takviyesi
Isparta,Buğday,Kumlu,Alçak Rakım,Bitki Örtüsü Koruma
Bayburt,Nohut,Toprak A,Don Tehlikesi,Organik Gübre
Şırnak,Domates,Kireçli,Denizel,Nöbetleşe Ekim
Adana,Ayçiçeği,Verimli,Çok Yağışlı,Bitki Örtüsü Koruma
Mardin,Fasulye,Kahverengi,Ilıman,Malçlama
Hakkâri,Elma,Verimli,Yüksek Rakım,Malçlama
Kilis,Kayısı,Kireçli,Nem Düşük,Nöbetleşe Ekim
Ağrı,Mısır,Bazik,Akdeniz,Kompost
Hakkâri,Kayısı,Killi,Yarı Kurak,Malçlama
Bingöl,Soğan,Sert,Karasal,Malçlama
İstanbul,Patates,Toprak A,Yarı Kurak,Organik Gübre
Uşak,Karpuz,Killi,Don Tehlikesi,Malçlama
Sivas,Pamuk,Toprak B,Nem Düşük,Malçlama
Balıkesir,Mercimek,Bazik,Ilık Kış,Kompost
Tekirdağ,Zeytin,Kahverengi,Sıcak,Rüzgar Kıran
Kırklareli,Soğan,Alüvyal,Denizel,Yağmur Suyu Toplama
Yozgat,Elma,Toprak B,Nem Düşük,Damla Sulama
Karabük,Patates,Killi,Nemli,Bitki Örtüsü Koruma
Mersin,Karpuz,Toprak B,Nemli,Toprak Analizi
Muş,Nohut,Toprak A,Alçak Rakım,Nöbetleşe Ekim
Kırıkkale,Pamuk,Kahverengi,Rüzgarlı,Damla Sulama
Adıyaman,Zeytin,Toprak A,Az Yağışlı,Organik Gübre
İstanbul,Mısır,Toprak B,Yarı Kurak,Azot Takviyesi
Gaziantep,Patates,Toprak A,Don Tehlikesi,Damla Sulama
Rize,Nohut,Yumuşak,Çok Yağışlı,Kompost
Kırklareli,Kabak,Drenajlı,Soğuk,Azot Takviyesi
